"Carbon dioxide, fossil","kg","carbon dioxide (fossil)","kg",0,1.00
"Carbon dioxide, in air","kg","carbon dioxide","kg",0,1.00
"Carbon dioxide, land transformation","kg","carbon dioxide","kg",0,1.00
"Carbon disulfide","kg","carbon disulfide","kg",0,1.00
"Carbon monoxide, biogenic","kg","carbon monoxide","kg",0,1.00
"Carbon monoxide, fossil","kg","carbon monoxide","kg",0,1.00
"Carbon, in organic matter, in soil","kg","carbon","kg",1,1.00
"Carbon-14","kBq","carbon-14","kBq",0,1.00
"Carbonate","kg","carbonate","kg",0,1.00
"Carboxin","kg","carboxin","kg",0,1.00
"Carboxylic acids, unspecified","kg","1-propanecarboxylic acid","kg",1,1.00
"Cerium, 24% in bastnasite, 2.4% in crude ore, in ground","kg","cerium","kg",0,1.00
"Cerium-141","kBq","cerium-141","kBq",0,1.00
"Cerium-144","kBq","cerium-144","kBq",0,1.00
"Cesium","kg","cesium","kg",0,1.00
"Cesium-134","kBq","cesium-134","kBq",0,1.00
"Cesium-136","kBq","cesium-136","kBq",0,1.00
"Cesium-137","kBq","cesium-137","kBq",0,1.00
"Chlorate","kg","chlorate","kg",0,1.00
"Chloridazon","kg","chloridazon","kg",0,1.00
"Chloride","kg","chloride","kg",0,1.00
"Chlorimuron-ethyl","kg","chlorimuron-ethyl","kg",0,1.00
"Chlorine","kg","chlorine","kg",0,1.00
"Chlormequat","kg","chlormequat","kg",0,1.00
"Chlormequat chloride","kg","chlormequat chloride","kg",0,1.00
"Chloroform","kg","chloroform","kg",0,1.00
"Chlorothalonil","kg","chlorothalonil","kg",0,1.00
"Chlorotoluron","kg","chlortoluron","kg",0,1.00
"Chlorpyrifos","kg","chlorpyrifos","kg",0,1.00
"Chlorsulfuron","kg","chlorsulfuron","kg",0,1.00
"Chromium","kg","chromium","kg",0,1.00
"Chromium VI","kg","chromium VI","kg",0,1.00
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground","kg","chromium","kg",0,1.00
"Chromium, ion","kg","chromium III","kg",0,1.00
"Chromium-51","kBq","chromium-51","kBq",0,1.00
"Chrysotile, in ground","kg","asbestos (white)","kg",0,1.00
"Cinnabar, in ground","kg","cinnabar","kg",0,1.00
"Clay, bentonite, in ground","kg","bentonite","kg",0,1.00
"Clay, unspecified, in ground","kg","clay","kg",0,1.00
"Clomazone","kg","clomazone","kg",0,1.00
"Clopyralid","kg","clopyralid","kg",0,1.00
"Coal, brown, in ground","kg","brown coal","kg",0,1.00
"Coal, hard, unspecified, in ground","kg","hard coal","kg",0,1.00
"Cobalt","kg","cobalt","kg",0,1.00
"Cobalt, in ground","kg","cobalt","kg",0,1.00
"Cobalt-57","kBq","cobalt-57","kBq",0,1.00
"Cobalt-58","kBq","cobalt-58","kBq",0,1.00
"Cobalt-60","kBq","cobalt-60","kBq",0,1.00
"COD, Chemical Oxygen Demand","kg","chemical oxygen demand","kg",0,1.00
"Colemanite, in ground","kg","colemanite","kg",0,1.00
"Copper","kg","copper","kg",0,1.00
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","kg","copper","kg",0,1.00
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","kg","copper","kg",0,1.00
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","kg","copper","kg",0,1.00
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","kg","copper","kg",0,1.00
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","kg","copper","kg",0,1.00
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","kg","copper","kg",0,1.00
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground","kg","copper","kg",0,1.00
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","kg","copper","kg",0,1.00
"Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore, in ground","kg","copper","kg",0,1.00
"Copper, ion","kg","copper","kg",1,1.00
"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground","kg","copper","kg",0,1.00
"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground","kg","copper","kg",0,1.00
"Cumene","kg","cumene","kg",0,1.00
"Curium alpha","kBq","curium","kBq",0,1.00
"Curium-242","kBq","curium","kBq",0,1.00
"Curium-244","kBq","curium","kBq",0,1.00
"Cyanazine","kg","cyanazine","kg",0,1.00
"Cyanide","kg","cyanide","kg",0,1.00
"Cyclanilide","kg","cyclanilide","kg",0,1.00
"Cyclohexane","kg","cyclohexane","kg",0,1.00
"Cyfluthrin","kg","cyfluthrin","kg",0,1.00
"Cymoxanil","kg","cymoxanil","kg",0,1.00
"Cypermethrin","kg","cypermethrin","kg",0,1.00
"Cyproconazole","kg","cyproconazole","kg",0,1.00
"Cyprodinil","kg","cyprodinil","kg",0,1.00
"Deltamethrin","kg","deltamethrin","kg",0,1.00
"Desmedipham","kg","desmedipham","kg",0,1.00
"Diatomite, in ground","kg","diatomite","kg",0,1.00
"Diazinon","kg","diazinon","kg",0,1.00
"Dicamba","kg","dicamba","kg",0,1.00
"Dichlobenil","kg","dichlobenil","kg",0,1.00
"Dichlorprop-P","kg","dichloroprop","kg",0,1.00
"Diclofop","kg","diclofop-me","kg",0,1.00
"Diclofop-methyl","kg","diclofop-me","kg",0,1.00
"Dicofol","kg","dicofol","kg",0,1.00
"Dicrotophos","kg","Bidrin","kg",0,1.00
"Diethyl ether","kg","ether","kg",0,1.00
"Diethylene glycol","kg","diethylene glycol","kg",0,1.00
"Difenoconazole","kg","difenoconazole","kg",0,1.00
"Diflubenzuron","kg","diflubenzuron","kg",0,1.00
"Diflufenican","kg","diflufenican","kg",0,1.00
"Diflufenzopyr-sodium","kg","sodium","kg",1,1.00
"Diisobutyl ketone","kg","methyl isobutyl ketone","kg",1,1.00
"Dimethenamid","kg","dimethenamid","kg",0,1.00
"Dimethipin","kg","dimethipin","kg",0,1.00
"Dimethoate","kg","dimethoate","kg",0,1.00
"Dimethomorph","kg","dimethomorph","kg",0,1.00
"Dimethyl ether","kg","methyl ether","kg",0,1.00
"Dimethylamine","kg","dimethylamine","kg",0,1.00
"Dinitrogen monoxide","kg","nitrous oxide","kg",0,1.00
"Dinoseb","kg","dinoseb","kg",0,1.00
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","kg","2,3,7,8-tetrachlorodibenzo-p-dioxin","kg",0,1.00
"Diquat","kg","diquat dibromide","kg",1,1.00
"Disulfoton","kg","disulfoton","kg",0,1.00
"Diuron","kg","diuron","kg",0,1.00
"DNOC","kg","2-methyl-4,6-dinitrophenol","kg",0,1.00
"Dolomite, in ground","kg","dolomite","kg",0,1.00
"Endosulfan","kg","endosulfan","kg",0,1.00
"Endothall","kg","endothall","kg",0,1.00
"Energy, geothermal, converted","MJ","primary energy from geothermics","kg",0,1.00
"Energy, kinetic (in wind), converted","MJ","primary energy from wind power","kg",0,1.00
"Energy, potential (in hydropower reservoir), converted","MJ","primary energy from hydro power","kg",0,1.00
"Energy, solar, converted","MJ","primary energy from solar energy","kg",0,1.00
"Epichlorohydrin","kg","epichlorohydrin","kg",0,1.00
"EPTC","kg","s-ethyl dipropylthiocarbamate","kg",0,1.00
"Esfenvalerate","kg","esfenvalerate","kg",0,1.00
"Ethalfluralin","kg","ethalfluralin","kg",0,1.00
"Ethane","kg","ethane","kg",0,1.00
"Ethane thiol","kg","mercaptan","kg",0,1.00
"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","kg","HFC-134a","kg",0,1.00
"Ethane, 1,1,1-trichloro-, HCFC-140","kg","HCFC-140","kg",0,1.00
"Ethane, 1,1,1-trifluoro-, HFC-143a","kg","CFC-143a","kg",0,1.00
"Ethane, 1,1,2-trichloro-","kg","1,1,2-trichloroethane","kg",0,1.00
"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113","kg","CFC-113","kg",0,1.00
"Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b","kg","HCFC-141b","kg",0,1.00
"Ethane, 1,1-difluoro-, HFC-152a","kg","HFC-152a","kg",0,1.00
"Ethane, 1,2-dichloro-","kg","1,2-dichloroethane","kg",0,1.00
