"antimony-125","kBq","Antimony-125","kBq",0,1.00
"aramite","kg","Insecticides, unspecified","kg",1,1.00
"argon-41","kBq","Argon-41","kBq",0,1.00
"arsenic","kg","Arsenic","kg",0,1.00
"arsenic","kg","Arsenic, ion","kg",0,1.00
"arsenic trioxide","kg","Arsenic","kg",1,1.00
"asbestos (white)","kg","Chrysotile, in ground","kg",0,1.00
"asulam","kg","Asulam","kg",0,1.00
"atrazine","kg","Atrazine","kg",0,1.00
"avermectin B1","kg","Insecticides, unspecified","kg",1,1.00
"azinphos-ethyl","kg","Azinphos-methyl","kg",1,1.00
"azinphos-methyl","kg","Azinphos-methyl","kg",0,1.00
"azoxystrobin","kg","Azoxystrobin","kg",0,1.00
"barium","kg","Barium","kg",0,1.00
"barium sulfate","kg","Barite","kg",0,1.00
"barium-140","kBq","Barium-140","kBq",0,1.00
"baryte","kg","Barite","kg",0,1.00
"baryte","kg","Barite, 15% in crude ore, in ground","kg",0,1.00
"basalt","kg","Basalt, in ground","kg",0,1.00
"bauxite","kg","Aluminium, 24% in bauxite, 11% in crude ore, in ground","kg",0,1.00
"benefin","kg","Herbicides, unspecified","kg",1,1.00
"benomyl","kg","Benomyl","kg",0,1.00
"bentazone","kg","Bentazone","kg",0,1.00
"bentonite","kg","Clay, bentonite, in ground","kg",0,1.00
"benzaldehyde","kg","Benzaldehyde","kg",0,1.00
"benzene","kg","Benzene","kg",0,1.00
"benzo[a]pyrene","kg","Benzo(a)pyrene","kg",0,1.00
"beryllium","kg","Beryllium","kg",0,1.00
"beta-1,2,3,4,5,6-hexachlorocyclohexane","kg","Cyclohexane","kg",1,1.00
"beta-butyrolactone","kg","Butyrolactone","kg",0,1.00
"betasan","kg","Herbicides, unspecified","kg",1,1.00
"Bidrin","kg","Dicrotophos","kg",0,1.00
"bifenox","kg","Bifenox","kg",0,1.00
"bifenthrin","kg","Bifenthrin","kg",0,1.00
"biological oxygen demand","kg","BOD5, Biological Oxygen Demand","kg",0,1.00
"bispyribac-sodium","kg","Herbicides, unspecified","kg",1,1.00
"borax","kg","Borax, in ground","kg",0,1.00
"boron","kg","Boron","kg",0,1.00
"bromacil","kg","Herbicides, unspecified","kg",1,1.00
"bromate","kg","Bromate","kg",0,1.00
"bromide","kg","Bromide","kg",0,1.00
"bromine","kg","Bromine","kg",0,1.00
"bromoxynil","kg","Bromoxynil","kg",0,1.00
"bromoxynil heptanoate","kg","Bromoxynil","kg",1,1.00
"bromoxynil octanoate","kg","Bromoxynil","kg",1,1.00
"bromuconazole","kg","Bromuconazole","kg",0,1.00
"brown coal","kg","Coal, brown, in ground","kg",0,1.00
"butadiene","kg","Butadiene","kg",0,1.00
"butanol","kg","Butanol","kg",0,1.00
"butene","kg","Butene","kg",0,1.00
"butoxyethyl triclopyr","kg","Triclopyr","kg",0,1.00
"butoxypropyl acetate","kg","Herbicides, unspecified","kg",1,1.00
"butralin","kg","Herbicides, unspecified","kg",1,1.00
"butyl benzyl phthalate","kg","Phthalate, butyl-benzyl-","kg",0,1.00
"butylate","kg","Herbicides, unspecified","kg",1,1.00
"butylene glycol","kg","1,4-Butanediol","kg",0,1.00
"cacodylic acid","kg","Herbicides, unspecified","kg",1,1.00
"cadmium","kg","Cadmium","kg",0,1.00
"calcium","kg","Calcium","kg",0,1.00
"calcium carbonate","kg","Calcite, in ground","kg",0,1.00
"captafol","kg","Fungicides, unspecified","kg",1,1.00
"captan","kg","Captan","kg",0,1.00
"carbaryl","kg","Carbaryl","kg",0,1.00
"carbendazim","kg","Carbendazim","kg",0,1.00
"carbetamide","kg","Carbetamide","kg",0,1.00
"carbofuran","kg","Carbofuran","kg",0,1.00
"carbon","kg","Carbon","kg",0,1.00
"carbon dioxide","kg","Carbon dioxide, in air","kg",0,1.00
"carbon dioxide","kg","Carbon dioxide, land transformation","kg",0,1.00
"carbon dioxide (biogenic)","kg","Carbon dioxide, biogenic","kg",0,1.00
"carbon dioxide (fossil)","kg","Carbon dioxide, fossil","kg",0,1.00
"carbon disulfide","kg","Carbon disulfide","kg",0,1.00
"carbon monoxide","kg","Carbon monoxide, biogenic","kg",0,1.00
"carbon monoxide","kg","Carbon monoxide, fossil","kg",0,1.00
"carbon-14","kBq","Carbon-14","kBq",0,1.00
"carbonate","kg","Carbonate","kg",0,1.00
"carboxin","kg","Carboxin","kg",0,1.00
"cerium","kg","Cerium, 24% in bastnasite, 2.4% in crude ore, in ground","kg",0,1.00
"cerium-141","kBq","Cerium-141","kBq",0,1.00
"cerium-144","kBq","Cerium-144","kBq",0,1.00
"cesium","kg","Cesium","kg",0,1.00
"cesium-134","kBq","Cesium-134","kBq",0,1.00
"cesium-136","kBq","Cesium-136","kBq",0,1.00
"cesium-137","kBq","Cesium-137","kBq",0,1.00
"CFC-10","kg","Methane, tetrachloro-, R-10","kg",0,1.00
"CFC-11","kg","Methane, trichlorofluoro-, CFC-11","kg",0,1.00
"CFC-113","kg","Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113","kg",0,1.00
"CFC-114","kg","Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114","kg",0,1.00
"CFC-115","kg","Ethane, chloropentafluoro-, CFC-115","kg",0,1.00
"CFC-12","kg","Methane, dichlorodifluoro-, CFC-12","kg",0,1.00
"CFC-13","kg","Methane, chlorotrifluoro-, CFC-13","kg",0,1.00
"CFC-143a","kg","Ethane, 1,1,1-trifluoro-, HFC-143a","kg",0,1.00
"chemical oxygen demand","kg","COD, Chemical Oxygen Demand","kg",0,1.00
"chlorate","kg","Chlorate","kg",0,1.00
"chlordane","kg","Insecticides, unspecified","kg",1,1.00
"chlorethoxyfos","kg","Insecticides, unspecified","kg",1,1.00
"chlorfenvinfos","kg","Insecticides, unspecified","kg",1,1.00
"chloridazon","kg","Chloridazon","kg",0,1.00
"chloride","kg","Chloride","kg",0,1.00
"chlorimuron-ethyl","kg","Chlorimuron-ethyl","kg",0,1.00
"chlorine","kg","Chlorine","kg",0,1.00
"chlormephos","kg","Insecticides, unspecified","kg",1,1.00
"chlormequat","kg","Chlormequat","kg",0,1.00
"chlormequat chloride","kg","Chlormequat chloride","kg",0,1.00
"chlorobenzene","kg","Benzene, chloro-","kg",0,1.00
"chloroethane","kg","Monochloroethane","kg",0,1.00
"chloroform","kg","Chloroform","kg",0,1.00
"chlorothalonil","kg","Chlorothalonil","kg",0,1.00
"chlorpyrifos","kg","Chlorpyrifos","kg",0,1.00
"chlorsulfuron","kg","Chlorsulfuron","kg",0,1.00
"chlortoluron","kg","Chlorotoluron","kg",0,1.00
"chromium","kg","Chromium","kg",0,1.00
"chromium III","kg","Chromium, ion","kg",0,1.00
"chromium VI","kg","Chromium VI","kg",0,1.00
"chromium-51","kBq","Chromium-51","kBq",0,1.00
"chrysene","kg","PAH, polycyclic aromatic hydrocarbons","kg",1,1.00
"cinnabar","kg","Cinnabar, in ground","kg",0,1.00
"clay","kg","Clay, unspecified, in ground","kg",0,1.00
"clofentezine","kg","Insecticides, unspecified","kg",1,1.00
"clomazone","kg","Clomazone","kg",0,1.00
"clopyralid","kg","Clopyralid","kg",0,1.00
"cobalt","kg","Cobalt","kg",0,1.00
"cobalt","kg","Cobalt, in ground","kg",0,1.00
"cobalt-57","kBq","Cobalt-57","kBq",0,1.00
"cobalt-58","kBq","Cobalt-58","kBq",0,1.00
"cobalt-60","kBq","Cobalt-60","kBq",0,1.00
"colemanite","kg","Colemanite, in ground","kg",0,1.00
"copper","kg","Copper","kg",0,1.00
"coumaphos","kg","Insecticides, unspecified","kg",1,1.00
"crotoxyphos","kg","Insecticides, unspecified","kg",1,1.00
"crude oil","kg","Oil, crude, in ground","kg",0,1.00
"cumene","kg","Cumene","kg",0,1.00
"curium","kBq","Curium alpha","kBq",0,1.00
"cyanazine","kg","Cyanazine","kg",0,1.00
"cyanide","kg","Cyanide","kg",0,1.00
"cyclanilide","kg","Cyclanilide","kg",0,1.00
"cyclohexane","kg","Cyclohexane","kg",0,1.00
"cyfluthrin","kg","Cyfluthrin","kg",0,1.00
"cyhalothrin","kg","Lambda-cyhalothrin","kg",0,1.00
"cyhexatin","kg","Insecticides, unspecified","kg",1,1.00
"cymoxanil","kg","Cymoxanil","kg",0,1.00
"cypermethrin","kg","Cypermethrin","kg",0,1.00
"cyproconazole","kg","Cyproconazole","kg",0,1.00
"cyprodinil","kg","Cyprodinil","kg",0,1.00
"dalapon","kg","Herbicides, unspecified","kg",1,1.00
"dazomet","kg","Fungicides, unspecified","kg",1,1.00
"DDD","kg","Insecticides, unspecified","kg",1,1.00
"DDT","kg","Insecticides, unspecified","kg",1,1.00
"decane","kg","Hydrocarbons, aliphatic, alkanes, unspecified","kg",1,1.00
"deltamethrin","kg","Deltamethrin","kg",0,1.00
"demeton","kg","Insecticides, unspecified","kg",1,1.00
"demeton-s-methyl sulfoxide","kg","Oxydemeton-methyl","kg",0,1.00
"desmedipham","kg","Desmedipham","kg",0,1.00
"desmetrin","kg","Herbicides, unspecified","kg",1,1.00
"diallate","kg","Herbicides, unspecified","kg",1,1.00
"diatomite","kg","Diatomite, in ground","kg",0,1.00
"diazinon","kg","Diazinon","kg",0,1.00
"dibutyl phthalate","kg","Phthalate, dibutyl-","kg",0,1.00
"dicamba","kg","Dicamba","kg",0,1.00
"dichlobenil","kg","Dichlobenil","kg",0,1.00
"dichloromethane","kg","Methane, dichloro-, HCC-30","kg",0,1.00
"dichloroprop","kg","Dichlorprop-P","kg",0,1.00
"diclofop-me","kg","Diclofop","kg",0,1.00
"diclofop-me","kg","Diclofop-methyl","kg",0,1.00
"dicofol","kg","Dicofol","kg",0,1.00
"dieldrin","kg","Insecticides, unspecified","kg",1,1.00
"diethylene glycol","kg","Diethylene glycol","kg",0,1.00
"difenoconazole","kg","Difenoconazole","kg",0,1.00
"diflubenzuron","kg","Diflubenzuron","kg",0,1.00
"diflufenican","kg","Diflufenican","kg",0,1.00
"dimethenamid","kg","Dimethenamid","kg",0,1.00
"dimethipin","kg","Dimethipin","kg",0,1.00
"dimethoate","kg","Dimethoate","kg",0,1.00
"dimethomorph","kg","Dimethomorph","kg",0,1.00
"dimethyl phthalate","kg","Phthalate, dimethyl-","kg",0,1.00
"dimethylamine","kg","Dimethylamine","kg",0,1.00
"dinoseb","kg","Dinoseb","kg",0,1.00
"diquat dibromide","kg","Diquat","kg",1,1.00
"di-sec-octyl phthalate","kg","Phthalate, dioctyl-","kg",0,1.00
"disulfoton","kg","Disulfoton","kg",0,1.00
"diuron","kg","Diuron","kg",0,1.00
"dodecane","kg","Hydrocarbons, aliphatic, alkanes, unspecified","kg",1,1.00
"dolomite","kg","Dolomite, in ground","kg",0,1.00
"endosulfan","kg","Endosulfan","kg",0,1.00
"endothall","kg","Endothall","kg",0,1.00
"endrin","kg","Insecticides, unspecified","kg",1,1.00
"epichlorohydrin","kg","Epichlorohydrin","kg",0,1.00
"esfenvalerate","kg","Esfenvalerate","kg",0,1.00
"ethalfluralin","kg","Ethalfluralin","kg",0,1.00
"ethane","kg","Ethane","kg",0,1.00
"ethanol","kg","Ethanol","kg",0,1.00
"ethephon","kg","Ethephon","kg",0,1.00
"ether","kg","Diethyl ether","kg",0,1.00
"ethofumesate","kg","Ethofumesate","kg",0,1.00
"ethoprophos","kg","Ethoprop","kg",0,1.00
"ethyl acetate","kg","Ethyl acetate","kg",0,1.00
"ethyl benzene","kg","Benzene, ethyl-","kg",0,1.00
"ethylene","kg","Ethene","kg",0,1.00
"ethylene oxide","kg","Ethylene oxide","kg",0,1.00
"ethylenediamine","kg","Ethylene diamine","kg",0,1.00
"ethylyne","kg","Ethyne","kg",0,1.00
"etridiazole","kg","Etridiazole","kg",0,1.00
"europium","kg","Europium, 0.06% in bastnasite, 0.006% in crude ore, in ground","kg",0,1.00
"FC-14","kg","Methane, tetrafluoro-, R-14","kg",0,1.00
"feldspar","kg","Feldspar, in ground","kg",0,1.00
"fenbuconazole","kg","Fenbuconazole","kg",0,1.00
"fenoxaprop-ethyl","kg","Fenoxaprop ethyl ester","kg",0,1.00
"fenoxaprop-p-ethyl","kg","Fenoxaprop-P ethyl ester","kg",0,1.00
"fenpiclonil","kg","Fenpiclonil","kg",0,1.00
"fenpropathrin","kg","Fenpropathrin","kg",0,1.00
"fenpropidin","kg","Fenpropidin","kg",0,1.00
"fenpropimorph","kg","Fenpropimorph","kg",0,1.00
"fentin acetate","kg","Fentin acetate","kg",0,1.00
"fentin hydroxide","kg","Fentin hydroxide","kg",0,1.00
"fipronil","kg","Fipronil","kg",0,1.00
"fluazifop-p-butyl","kg","Fluazifop-P-butyl","kg",0,1.00
"fluazinam","kg","Fluazinam","kg",0,1.00
"fludioxonil","kg","Fludioxonil","kg",0,1.00
"flufenacet","kg","Flufenacet","kg",0,1.00
"flumetsulam","kg","Flumetsulam","kg",0,1.00
"fluometuron","kg","Fluometuron","kg",0,1.00
"fluoride","kg","Fluoride","kg",0,1.00
"fluorine","kg","Fluorine","kg",0,1.00
"fluorspar","kg","Fluorspar, 92%, in ground","kg",0,1.00
"fluroxypyr","kg","Fluroxypyr","kg",0,1.00
"flusilazole","kg","Flusilazole","kg",0,1.00
"flutolanil","kg","Flutolanil","kg",0,1.00
"formaldehyde","kg","Formaldehyde","kg",0,1.00
"formic acid","kg","Formic acid","kg",0,1.00
"furan","kg","Furan","kg",0,1.00
"gadolinium","kg","Gadolinium, 0.15% in bastnasite, 0.015% in crude ore, in ground","kg",0,1.00
"gallium","kg","Gallium, 0.014% in bauxite, in ground","kg",0,1.00
"glufosinate ammonium salt","kg","Glufosinate","kg",1,1.00
"glutaraldehyde","kg","Glutaraldehyde","kg",0,1.00
"glyphosate","kg","Glyphosate","kg",0,1.00
"glyphosate-trimesium","kg","Sulfosate","kg",0,1.00
"gold","kg","Gold","kg",0,1.00
"granite","kg","Granite, in ground","kg",0,1.00
"gravel","kg","Gravel, in ground","kg",0,1.00
"ground water","kg","Water, salt, sole","m3",0,0.001
"ground water","kg","Water, well, in ground","m3",0,0.001
"gypsum","kg","Gypsum, in ground","kg",0,1.00
"Halon-1001","kg","Methane, bromo-, Halon 1001","kg",0,1.00
"Halon-1211","kg","Methane, bromochlorodifluoro-, Halon 1211","kg",0,1.00
"Halon-1301","kg","Methane, bromotrifluoro-, Halon 1301","kg",0,1.00
"halosulfuron-methyl","kg","Halosulfuron-methyl","kg",0,1.00
"hard coal","kg","Coal, hard, unspecified, in ground","kg",0,1.00
"HCFC-123","kg","Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123","kg",0,1.00
"HCFC-124","kg","Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124","kg",0,1.00
"HCFC-140","kg","Ethane, 1,1,1-trichloro-, HCFC-140","kg",0,1.00
"HCFC-141b","kg","Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b","kg",0,1.00
"HCFC-142","kg","Ethane, 1-chloro-1,1-difluoro-, HCFC-142b","kg",0,1.00
"HCFC-21","kg","Methane, dichlorofluoro-, HCFC-21","kg",0,1.00
"HCFC-22","kg","Methane, chlorodifluoro-, HCFC-22","kg",0,1.00
"HCFC-31","kg","Methane, chloro-fluoro-, HCFC-31","kg",0,1.00
"helium","kg","Helium","kg",0,1.00
"helium","kg","Helium, 0.08% in natural gas, in ground","kg",0,1.00
"heptane","kg","Heptane","kg",0,1.00
"hexachlorobenzene","kg","Benzene, hexachloro-","kg",0,1.00
"hexachloroethane","kg","Ethane, hexachloro-","kg",0,1.00
"hexane","kg","Hexane","kg",0,1.00
"HFC-116","kg","Ethane, hexafluoro-, HFC-116","kg",0,1.00
"HFC-125","kg","Ethane, pentafluoro-, HFC-125","kg",0,1.00
"HFC-134a","kg","Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","kg",0,1.00
"HFC-152a","kg","Ethane, 1,1-difluoro-, HFC-152a","kg",0,1.00
"HFC-23","kg","Methane, trifluoro-, HFC-23","kg",0,1.00
"HFC-32","kg","Methane, difluoro-, HFC-32","kg",0,1.00
"hydrazine","kg","Hydrazine","kg",0,1.00
"hydrocarbons (unspecified)","kg","Hydrocarbons, unspecified","kg",0,1.00
"hydrogen","kg","Hydrogen","kg",0,1.00
"hydrogen arsenide","kg","Arsine","kg",0,1.00
"hydrogen chloride","kg","Hydrogen chloride","kg",0,1.00
"hydrogen fluoride","kg","Hydrogen fluoride","kg",0,1.00
"hydrogen peroxide","kg","Hydrogen peroxide","kg",0,1.00
"hydrogen sulfide","kg","Hydrogen sulfide","kg",0,1.00
"hydrogen-3","kBq","Hydrogen-3, Tritium","kBq",0,1.00
"hydroxide","kg","Hydroxide","kg",0,1.00
"hypochlorite","kg","Hypochlorite","kg",0,1.00
"imazalil","kg","Imazalil","kg",0,1.00
"imazamox","kg","Imazamox","kg",0,1.00
"imazapyr","kg","Imazapyr","kg",0,1.00
"imazaquin","kg","Herbicides, unspecified","kg",1,1.00
"indan","kg","Hydrocarbons, aromatic","kg",1,1.00
"indeno(1,2,3-cd)pyrene","kg","PAH, polycyclic aromatic hydrocarbons","kg",1,1.00
"indium","kg","Indium, 0.005% in sulfide, In 0.003%, Pb, Zn, Ag, Cd, in ground","kg",0,1.00
"indoxacarb","kg","Indoxacarb","kg",0,1.00
"inert rock","kg","Metamorphous rock, graphite containing, in ground","kg",0,1.00
"iodide","kg","Iodide","kg",0,1.00
"iodine","kg","Iodine","kg",0,1.00
"iodine-129","kBq","Iodine-129","kBq",0,1.00
"iodine-131","kBq","Iodine-131","kBq",0,1.00
"iodine-133","kBq","Iodine-133","kBq",0,1.00
"ioxynil","kg","Ioxynil","kg",0,1.00
"iprodione","kg","Iprodion","kg",0,1.00
"iron","kg","Iron","kg",0,1.00
