"01d052a5-9c4b-4c3a-8593-2e651c0a5bdf","013982-39-3","Zn-65","Zinc-65","4923348e-591b-4772-b224-d19df86f04c9","aa4362e0-b20a-448b-b2a0-261f4510deb5"
"01e16652-6f42-42f4-a23d-d10f166aaec9","000107-31-3","C2H4O2","Methyl formate","487df68b-4994-4027-8fdc-a4dc298257b7","aa4362e0-b20a-448b-b2a0-261f4510deb5"
"01f511e2-7030-45f0-abb7-c24a4fae698b","014234-35-6","Sb-125","Antimony-125","4923348e-591b-4772-b224-d19df86f04c9","963f8022-3e2e-4be9-ad4d-b3b7a2282099"
"020182dd-907f-4a99-b1f7-f28aae3d11ef","013981-52-7","Po-210","Polonium-210","4923348e-591b-4772-b224-d19df86f04c9","aa4362e0-b20a-448b-b2a0-261f4510deb5"
"0217e70b-e467-4ec6-8800-09d011b7e689","013981-28-7","La-140","Lanthanum-140","4923348e-591b-4772-b224-d19df86f04c9","65f8d2a1-63ed-479c-b86c-3bcf38e86320"
"021b8f30-26ac-4012-880a-69bfd65bfed4","007601-89-0","NaClO4","Sodium perchlorate","487df68b-4994-4027-8fdc-a4dc298257b7","f335ce0e-b830-475a-adab-03858d9cbdaf"
"02381700-f27e-4ffa-b58f-e7309ad7f9e7","000110-54-3","C6H14","Hexane","487df68b-4994-4027-8fdc-a4dc298257b7","a119c440-7e83-4655-a874-97fe1468315a"
"024b1a73-0cff-4b49-9e1e-7d75110f1e31","000100-42-5","C8H8","Styrene","487df68b-4994-4027-8fdc-a4dc298257b7","65f8d2a1-63ed-479c-b86c-3bcf38e86320"
"024c9722-1e88-412b-8c4b-10c532be8dca",,,"Coal, brown, in ground","487df68b-4994-4027-8fdc-a4dc298257b7","6a098164-9f04-4f65-8104-ffab7f2677f3"
"024e919d-91ee-47c7-9f0b-ebe851cc61fb","007790-93-4","ClO3-","Chlorate","487df68b-4994-4027-8fdc-a4dc298257b7","e47f0a6c-3be8-4027-9eee-de251784f708"
"025fcb20-0591-4bae-80fc-7c34e9af2e7b","000142-82-5","C7H16","Heptane","487df68b-4994-4027-8fdc-a4dc298257b7","be7e06e9-0bf5-462e-99dc-fe4aee383c48"
"0267272f-ea07-498a-9723-43583f115b46","015100-28-4","Pa-234m","Protactinium-234","4923348e-591b-4772-b224-d19df86f04c9","7011f0aa-f5f9-4901-8c10-884ad8296812"
"02703daf-fde4-489a-b7e5-523e46151312",,,"Actinides, radioactive, unspecified","4923348e-591b-4772-b224-d19df86f04c9","be7e06e9-0bf5-462e-99dc-fe4aee383c48"
"02a7b111-6538-4496-a7cc-e03ea5b649bf","010043-35-3","H3BO3","Boric acid","487df68b-4994-4027-8fdc-a4dc298257b7","23dbff79-8037-43e7-b270-5a3da416a284"
"02dd7309-b7c2-47bb-82c8-09345be9c2bb","015165-67-0","C9H8Cl2O3","Dichlorprop-P","487df68b-4994-4027-8fdc-a4dc298257b7","e1bc9a16-5b6a-494f-98ef-49f461b1a11e"
"0315d855-dff2-44af-bb37-1b855df53d69","000106-99-0","C4H6","Butadiene","487df68b-4994-4027-8fdc-a4dc298257b7","23dbff79-8037-43e7-b270-5a3da416a284"
"031a15fd-8cd2-49f5-ada6-526313c6e457","014762-78-8","Ce-144","Cerium-144","4923348e-591b-4772-b224-d19df86f04c9","aa4362e0-b20a-448b-b2a0-261f4510deb5"
"0331d547-57ea-4ec6-a746-3ab289c3626a",,"CORINE 121","Transformation, from industrial area","1017f68a-f818-4f9d-a34d-a31e7386f628","7d704b6f-d455-4f41-9c28-50b4f372f315"
"033d3a16-e1a2-4ce8-8769-f4ea867801ca","001717-00-6","C2H3Cl2F","Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b","487df68b-4994-4027-8fdc-a4dc298257b7","e8d7772c-55ca-4dd7-b605-fee5ae764578"
"033fb239-a6c7-4486-9f92-f5a80b346778","013981-38-9","Co-58","Cobalt-58","4923348e-591b-4772-b224-d19df86f04c9","be7e06e9-0bf5-462e-99dc-fe4aee383c48"
"03606bd1-8f71-4667-9b93-4f5e3b28249e","014762-75-5","C-14","Carbon-14","4923348e-591b-4772-b224-d19df86f04c9","aa4362e0-b20a-448b-b2a0-261f4510deb5"
"0367c22a-f1f5-48bc-8dea-95e784d19df2","007637-07-2","BF3","Boron trifluoride","487df68b-4994-4027-8fdc-a4dc298257b7","e8d7772c-55ca-4dd7-b605-fee5ae764578"
"03758df7-503a-400e-bc7b-ec05825761a5","000107-06-2","C2H4Cl2","Ethane, 1,2-dichloro-","487df68b-4994-4027-8fdc-a4dc298257b7","7011f0aa-f5f9-4901-8c10-884ad8296812"
"03964ba4-c637-480e-af78-6bb46e9dac37","007440-51-9","Cm-alpha","Curium alpha","4923348e-591b-4772-b224-d19df86f04c9","a119c440-7e83-4655-a874-97fe1468315a"
"03a1f7e6-f18b-4d49-b40b-5f52d1d9fb5c",,,"Insecticides, unspecified","487df68b-4994-4027-8fdc-a4dc298257b7","963f8022-3e2e-4be9-ad4d-b3b7a2282099"
"03b279a7-4626-4703-a451-d0650599dbd9","018540-29-9","Cr6+","Chromium VI","487df68b-4994-4027-8fdc-a4dc298257b7","be7e06e9-0bf5-462e-99dc-fe4aee383c48"
"03bd55c6-c37d-4205-aaa2-3c1f3759a0cd","378784-49-7","Te-123m","Tellurium-123m","4923348e-591b-4772-b224-d19df86f04c9","65f8d2a1-63ed-479c-b86c-3bcf38e86320"
"03c9b5ac-a8f1-4a10-a0a5-b01f699545d1","001305-62-0","Ca(OH)2","Calcium  hydroxide","487df68b-4994-4027-8fdc-a4dc298257b7","e8d7772c-55ca-4dd7-b605-fee5ae764578"
"03e91172-fca0-47f3-9014-22ae3136251b","010043-66-0","I-131","Iodine-131","4923348e-591b-4772-b224-d19df86f04c9","be7e06e9-0bf5-462e-99dc-fe4aee383c48"
"040b40e8-bc9f-4219-ba9f-b648cb4c7a98","000079-15-2","C2H4BrNO","N-Bromoacetamide","487df68b-4994-4027-8fdc-a4dc298257b7","23dbff79-8037-43e7-b270-5a3da416a284"
"04279d50-d748-4d84-b004-8c90ccb044e2","066841-25-6","C22H19Br4NO3","Tralomethrin","487df68b-4994-4027-8fdc-a4dc298257b7","e1bc9a16-5b6a-494f-98ef-49f461b1a11e"
"042de84f-261d-4e29-bb7d-f43601cc2c7d","003337-71-1","C8H10N2O4S","Asulam","487df68b-4994-4027-8fdc-a4dc298257b7","e1bc9a16-5b6a-494f-98ef-49f461b1a11e"
"0437e787-ef47-4a50-b11f-df7c743e860c","007439-95-4","Mg","Magnesium","487df68b-4994-4027-8fdc-a4dc298257b7","be7e06e9-0bf5-462e-99dc-fe4aee383c48"
"044b9b1d-0406-4da9-bc8a-f180176e7ed9","000062-53-3","C6H7N","Aniline","487df68b-4994-4027-8fdc-a4dc298257b7","a119c440-7e83-4655-a874-97fe1468315a"
"045f7de9-60d5-4916-a504-5a1002a6e97e","001330-20-7","C6H4(CH3)2","Xylene","487df68b-4994-4027-8fdc-a4dc298257b7","e47f0a6c-3be8-4027-9eee-de251784f708"
"046887e9-5de9-44c0-8461-3c6da8e9e4b1","014269-63-7","Th-230","Thorium-230","4923348e-591b-4772-b224-d19df86f04c9","23dbff79-8037-43e7-b270-5a3da416a284"
"0485e80e-e793-4ec8-b50b-5ac6c2e6206f","000547-64-8","C4H8O3","Methyl lactate","487df68b-4994-4027-8fdc-a4dc298257b7","be7e06e9-0bf5-462e-99dc-fe4aee383c48"
"0486ee88-c74a-479e-aa6f-2fbc4a96378d","007440-57-5","Au","Gold","487df68b-4994-4027-8fdc-a4dc298257b7","aa4362e0-b20a-448b-b2a0-261f4510deb5"
"048baf1e-6cdc-44a5-92e2-32d15ff54885","000071-41-0","C4H10O","1-Pentanol","487df68b-4994-4027-8fdc-a4dc298257b7","7011f0aa-f5f9-4901-8c10-884ad8296812"
"049a1473-3a62-4121-982b-5d15d0f2c683",,,"Hydrocarbons, unspecified","487df68b-4994-4027-8fdc-a4dc298257b7","65f8d2a1-63ed-479c-b86c-3bcf38e86320"
"04a6edb8-624a-484e-8f85-d771657adae7","000075-43-4","CHCl2F","Methane, dichlorofluoro-, HCFC-21","487df68b-4994-4027-8fdc-a4dc298257b7","7011f0aa-f5f9-4901-8c10-884ad8296812"
