2,"Acetaldehyde","000075-07-0","CH3CHO","kg",2
3,"Acetaldehyde","000075-07-0","CH3CHO","kg",4
4,"Acetaldehyde","000075-07-0","CH3CHO","kg",1
5,"Acetaldehyde","000075-07-0","CH3CHO","kg",5
6,"Acetaldehyde","000075-07-0","CH3CHO","kg",3
8,"Acetic acid","000064-19-7","CH3COOH","kg",2
9,"Acetic acid","000064-19-7","CH3COOH","kg",4
10,"Acetic acid","000064-19-7","CH3COOH","kg",1
11,"Acetic acid","000064-19-7","CH3COOH","kg",5
12,"Acetic acid","000064-19-7","CH3COOH","kg",3
14,"Acetic acid, trifluoro-","000076-05-1","C2HO2F3","kg",2
15,"Acetic acid, trifluoro-","000076-05-1","C2HO2F3","kg",4
16,"Acetic acid, trifluoro-","000076-05-1","C2HO2F3","kg",1
17,"Acetic acid, trifluoro-","000076-05-1","C2HO2F3","kg",5
18,"Acetic acid, trifluoro-","000076-05-1","C2HO2F3","kg",3
20,"Acetone","000067-64-1","CH3COCH3","kg",2
21,"Acetone","000067-64-1","CH3COCH3","kg",4
22,"Acetone","000067-64-1","CH3COCH3","kg",1
23,"Acetone","000067-64-1","CH3COCH3","kg",5
24,"Acetone","000067-64-1","CH3COCH3","kg",3
26,"Acrolein","000107-02-8","C3H4O","kg",2
27,"Acrolein","000107-02-8","C3H4O","kg",4
28,"Acrolein","000107-02-8","C3H4O","kg",1
29,"Acrolein","000107-02-8","C3H4O","kg",5
30,"Acrolein","000107-02-8","C3H4O","kg",3
32,"Actinides, radioactive, unspecified",,,"kBq",2
33,"Actinides, radioactive, unspecified",,,"kBq",4
34,"Actinides, radioactive, unspecified",,,"kBq",1
35,"Actinides, radioactive, unspecified",,,"kBq",5
36,"Actinides, radioactive, unspecified",,,"kBq",3
38,"Aerosols, radioactive, unspecified",,,"kBq",2
39,"Aerosols, radioactive, unspecified",,,"kBq",4
40,"Aerosols, radioactive, unspecified",,,"kBq",1
41,"Aerosols, radioactive, unspecified",,,"kBq",5
42,"Aerosols, radioactive, unspecified",,,"kBq",3
